Zeit[sec];X_Act[mm];Y_Act[mm];Z_Act[mm];A_Act[°];B_Act[°];C_Act[°];AxisPos_Act1[°];AxisPos_Act2[°];AxisPos_Act3[°];AxisPos_Act4[°];AxisPos_Act5[°];AxisPos_Act6[°];GearTorq_Act2[Nm];GearTorq_Act3[Nm];GearTorq_CmdIpo2[Nm];GearTorq_CmdIpo3[Nm];DriveMotorTorq_Cmd2[Nm];DriveMotorTorq_Cmd3[Nm];DriveMotorTorq_Act2[Nm];DriveMotorTorq_Act3[Nm];CartVel_Act[m/s]
0.0;383.2287724383013;-26.793728254020596;577.6644668214626;-0.02963700435590228;0.5030723450201717;-0.019257026686717464;-0.0003762136736665007;-1.91979990999472;1.9198005888755605;-1.1983866976506066e-06;-2.206620235023746e-05;-1.8798222708244806e-06;-2.302789868525909;-12.013216657036448;-2.801905988008494;-10.962830733550673;-0.03146668042491315;-0.12360145054035804;-0.026985192737482122;-0.12779434628956687;30082.033582756107
0.012;383.22581260143414;-26.809076672031658;577.6632829546442;-0.02967709553090271;0.5030749174305031;-0.019257114837762674;-0.0003361649951658334;-1.919807307635857;1.9198081083601988;-1.1983866976506066e-06;-1.9614476478500768e-05;-1.8798222708244806e-06;-2.474948837088365;-11.857293820527836;-2.801905988008494;-10.962830733550673;-0.031468669980991355;-0.12359545560438116;-0.02861778176577971;-0.12613180036996588;0.0
0.024;383.2249026197371;-26.821168733599496;577.6620760498013;-0.029708704598617235;0.5030782903651807;-0.019257230421457425;-0.0003046116515673101;-1.919807307635857;1.9198102567285082;-1.1983866976506066e-06;-1.8388390374430007e-05;-1.8798222708244806e-06;-3.088909907473885;-11.691338395091517;-2.801905988008494;-10.962830733550673;-0.031468939276696965;-0.12359446146946325;-0.033629850355963;-0.12461843069041449;1.0155138148282483
0.036000000000000004;383.2229660920722;-26.833726098915243;577.6594758411401;-0.029741541101247892;0.5030825031234802;-0.019257374784823294;-0.00027184475181926714;-1.9198115349418154;1.9198199247770116;-1.1983866976506066e-06;-1.9614476478500768e-05;-1.8798222708244806e-06;-3.165781187682077;-11.668290791418904;-2.857457977178363;-11.034247077014603;-0.03146876526153439;-0.12359501521521882;-0.03698393437506889;-0.1239414571355355;1.0155138148282483
0.048;383.2211855195941;-26.840583565326604;577.6588654068406;-0.029757678456198595;0.503082702931935;-0.019253088358986245;-0.0002536407467932129;-1.9198168188337805;1.919825295697785;-1.1983866976506066e-06;-1.9614476478500768e-05;-5.639466812473442e-06;-3.2664142574736275;-11.4186983742311;-2.86278113577767;-11.041176465502492;-0.031474545054646134;-0.12359803519355712;-0.03797493089438509;-0.12167695781622596;0.5925926620445686
0.06;383.2180175387962;-26.850529220586846;577.6618843925346;-0.029786126882341824;0.5030741178880843;-0.019259234065520676;-0.000228155404870041;-1.9198273870024831;1.9198274442616499;-1.1983866976506066e-06;-1.9614476478500768e-05;0.0;-3.1914156362609147;-11.381023140836176;-2.8687830551365563;-11.048989424833003;-0.03152630112653249;-0.12363758091743889;-0.03735877733460038;-0.12124507407488427;0.9054864923967268
0.072;383.2166555771322;-26.858461681169054;577.6612054881525;-0.029800346370990754;0.5030745858960263;-0.019243418233194823;-0.00020631073139542794;-1.9198305575300487;1.919830666814114;-1.3182690006469669e-05;-1.9614476478500768e-05;-1.8798222708244806e-06;-3.2884804101910032;-11.250178846809453;-2.873107278544937;-11.054618455992545;-0.0315831863603654;-0.12370682902512722;-0.037746298027427516;-0.1197103790801383;0.6730928845028714
0.08399999999999999;383.21467035749606;-26.846587096359286;577.6459324506297;-0.029497959601457024;0.5030898680679492;-0.01858098753891207;-0.00018932050344664669;-1.9198368983927927;1.9198349637462884;-0.0005956160783571843;-1.9614476478500768e-05;0.0;-3.349469239808748;-11.232770454526522;-2.8753593201710737;-11.057550034895044;-0.03163906904248306;-0.12378074301780329;-0.039061264961829545;-0.11952363507246115;1.6206405840941023
0.09599999999999999;383.21384673668786;-26.73813838183149;577.5463192546908;-0.02752151166742086;0.5031993520488852;-0.014446800873429335;-0.000172330054570112;-1.9198379551711857;1.919840334862617;-0.004204066199064472;-1.8388390374430007e-05;-1.5038920388017806e-05;-3.4872592637131956;-11.357014236564265;-2.878197066234429;-11.06124405229492;-0.03166890534012215;-0.1238354777248629;-0.040166603608556936;-0.12084469274262566;12.271407163195423
0.10799999999999998;383.212804456219;-26.49852410358453;577.338863230394;-0.023309376379057816;0.5034025005511438;-0.005686059089265332;-0.00015898049506988954;-1.9198400687279717;1.9198467801631007;-0.011854795296831798;-1.593666450269332e-05;-4.135745884382641e-05;-3.5901896017320207;-11.369136409659323;-2.881517394787578;-11.065566268298326;-0.031684654303505304;-0.12386585061735227;-0.041722963551315;-0.12097229273190811;26.41207754027381
0.11999999999999998;383.21147001319736;-26.119415711639263;577.021474902923;-0.01671792736566149;0.5036467775494108;0.0080097128499934;-0.0001419902671211083;-1.9198432392555371;1.91985107689972;-0.02384381383079128;-1.4710801566824973e-05;-5.0756570197948814e-05;-3.6452364493590697;-11.364426789499788;-2.8852139623584043;-11.070378250985142;-0.03171435646386597;-0.12389899770108599;-0.04236461142357977;-0.1210304341683328;41.20243888972683
0.13199999999999998;383.2100815162834;-25.588863686526032;576.5954153072023;-0.007650192500376171;0.5038464600463642;0.026822309515622058;-0.00012864070762088584;-1.9198474663691092;1.9198532254635843;-0.04036766310984385;-1.593666450269332e-05;-3.759644541648961e-06;-3.6400638147628857;-11.402156641556019;-2.889168751663463;-11.075526372127614;-0.031751493423338384;-0.12394290027274359;-0.04230749395730358;-0.12143489046563148;56.704285940048806
0.144;383.208813510769;-24.925198175810856;576.08203723704;0.0035294493709505316;0.503889878632867;0.05000930997051921;-0.00011286403582162417;-1.9198506368966743;1.919854299647739;-0.06071807543356081;-1.4710801566824973e-05;4.135745884382641e-05;-3.6429704200031314;-11.327198388051428;-2.893202132453822;-11.080776799222663;-0.03179218018143547;-0.12399360786584986;-0.04221861298571796;-0.12060332607040102;69.92111371610943
0.156;383.20811399818206;-24.112816578791453;575.4822508116324;0.016938735263015776;0.5036477743983395;0.07780869112998226;-0.00010194180954819437;-1.9198516936750674;1.9198585963843582;-0.08500290887722306;-1.3484938630956627e-05;-2.0678729421913205e-05;-3.661778901532601;-11.490415491109687;-2.8971747246180244;-11.085948095120726;-0.03183567632666165;-0.12404896555654413;-0.04237112753394682;-0.12219581379155353;84.15049708003282
0.168;383.20721472679696;-23.168967019186017;574.8246876345859;0.03220837783131654;0.5029682862915724;0.10949056083447836;-8.980580619749152e-05;-1.9198538072318536;1.9198607449482228;-0.11275837360803964;-1.3484938630956627e-05;-2.6318196234386648e-05;-3.707372812322408;-11.438071410747975;-2.901046055387359;-11.090987574659527;-0.03188010558255924;-0.12410684509340546;-0.04308264994392665;-0.12181717651946028;95.86021755732364
0.18000000000000002;383.206632897803;-22.08246684003355;574.1164691396865;0.04937025836680403;0.5016942581510109;0.14515261872394333;-8.009713607358128e-05;-1.9198548640102464;1.919859670764068;-0.14410431244093258;-1.2259075695088283e-05;3.7597472080755495e-05;-3.736012308206765;-10.367811976605598;-2.904771422335392;-11.095837046747485;-0.03192417959686523;-0.12416520719826023;-0.04329232748606195;-0.12238680002123582;108.07843040469187
0.19200000000000003;383.2061871305887;-20.851715028579825;573.3683450963362;0.06832670410631707;0.49965881150171526;0.18466499579822093;-6.796113272287843e-05;-1.9198548640102464;1.9198628933165323;-0.17873392856382633;-1.1032989591017523e-05;-5.451655696101974e-05;-3.946169171746003;-11.496473345713506;-2.9082772219182647;-11.100400698452209;-0.03196757814923016;-0.12422305758395626;-0.043438484674261445;-0.12222659266542683;120.02429639106221
0.20400000000000004;383.2052632958483;-19.48602591496233;572.6090306035708;0.08874652746179269;0.4967012537414619;0.22741088991153485;-6.0679574898007414e-05;-1.9198580345378118;1.9198628933165323;-0.21649382455243074;-1.2259075695088283e-05;3.947729435157997e-05;-3.709955233685687;-10.966798184458685;-2.911402912461226;-11.104469545697363;-0.032009699678673814;-0.12427967013815398;-0.0432352542937711;-0.12298269268501484;130.21526154901048
0.21600000000000005;383.20426203110355;-17.977338938998297;571.8457978641986;0.11060491376802208;0.4926490466452097;0.27345863849417623;-5.461157322265598e-05;-1.9198612048729906;1.9198628933165323;-0.25712873596799846;-9.807126655149177e-06;-5.451655696101974e-05;-3.6509790406345477;-10.940036225110202;-2.914015080956226;-11.107869918971257;-0.032049399284205866;-0.12433388034327052;-0.04237136809925529;-0.12257743669591263;140.89647398018752
