Zeit[sec];Sollposition[°];Istposition[°];Positionsschleppfehler[°];Sollgeschwindigkeit[°/s];Istgeschwindigkeit[°/s];Geschwindigkeitsdifferenz[°/s];Sollbeschleunigung[°/s*s];Istbeschleunigung[°/s*s];Beschleunigungsdifferenz[°/s*s]
0.0;0.0;-4.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.004;0.0;-4.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.008;0.0;-4.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.012;0.0;-4.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.016;0.0;-4.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.02;0.0;-4.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.024;0.0;-4.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.028;0.0;-4.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.032;0.0;-4.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.036000000000000004;0.0;-4.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.04000000000000001;0.0;-4.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.04400000000000001;0.0;-4.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.048000000000000015;0.0;-4.0;4.0;0.0;0.00023999999999999998;0.0;0.0;0.0;0.0
0.05200000000000002;2188.0;-4.0;4.0;0.5471341481866095;0.00023999999999999998;0.0;136.78353704665238;0.0;136.78353704665238
0.05600000000000002;23998.0;-4.0;2192.0;5.452559939946897;0.00023999999999999998;0.6784141481866095;1226.3564479400718;0.0;1226.3564479400718
0.060000000000000026;131200.0;2710.0;21288.0;26.800437767511607;0.6786541481866095;6.051185791760288;5336.969456891177;0.0;5336.969456891177
0.06400000000000003;485396.0;29629.0;101571.0;88.54893263384868;6.729839939946897;26.16485782756471;15437.123716584269;0.0;15437.123716584269
0.06800000000000003;1383086.0;161207.0;324189.0;224.4225444763044;32.89469776751161;75.10557486633707;33968.40296061393;83.33333333333333;33885.0696272806
0.07200000000000004;3258050.0;593208.0;789878.0;468.74095748705054;108.00027263384868;163.81495184245574;61079.60325268653;333.3333333333333;60746.269919353195
0.07600000000000004;6639086.0;1680468.0;1577582.0;845.258954676728;271.8152244763044;291.58065301074606;94129.49929741936;1083.3333333333333;93046.16596408603
0.08000000000000004;12095862.0;3934051.0;2705035.0;1364.1939929383643;563.3958774870505;444.1651771896775;129733.75956540908;2416.6666666666665;127317.09289874243
0.08400000000000005;20211016.0;7964295.0;4131567.0;2028.7883740484262;1007.561054676728;604.5269582616363;166148.59527751547;4833.333333333333;161315.26194418216
0.08800000000000005;31572802.0;14412647.0;5798369.0;2840.446457947323;1612.0880129383643;764.6025011100621;202914.52097472415;8250.0;194664.52097472415
0.09200000000000005;46755788.0;23919409.0;7653393.0;3795.746202545306;2376.6905140484264;922.9595238988964;238824.93614949577;13000.0;225824.93614949577
0.09600000000000006;66282252.0;37118009.0;9637779.0;4881.615883854898;3299.6500379473227;1074.3629045979833;271467.42032739805;18916.666666666668;252550.75366073137
0.10000000000000006;90586440.0;54614060.0;11668192.0;6076.046646408129;4374.012942545306;1207.694461309592;298607.6906383078;26166.666666666668;272441.0239716411
0.10400000000000006;119991906.0;76940889.0;13645551.0;7351.3660053037165;5581.707403854898;1313.0723025532307;318829.8397238968;34583.333333333336;284246.5063905635
0.10800000000000007;154697351.0;104520007.0;15471899.0;8676.361052920196;6894.779706408129;1384.9002388955878;331248.76190411986;43916.666666666664;287332.09523745324
0.11200000000000007;194775907.0;137638726.0;17058625.0;10019.63837507912;8279.679945303717;1420.1986076164794;335819.3305397308;54083.333333333336;281735.9972063975
0.11600000000000008;240188037.0;176438240.0;18337667.0;11353.031966787332;9699.878552920196;1420.019842158923;333348.39792705316;64750.0;268598.39792705316
0.12000000000000008;290797464.0;220917833.0;19270204.0;12652.356240913228;11119.898395079119;1389.3458117082118;324831.0685314741;75750.0;249081.0685314741
0.12400000000000008;346385169.0;270954809.0;19842655.0;13896.92562652553;12509.24420678733;1333.6713341258983;311142.3464030754;86750.0;224392.3464030754
0.12800000000000009;406655471.0;326326471.0;20058698.0;15067.574603532243;13842.915540913229;1257.531965612301;292662.24425167823;97583.33333333333;195078.91091834486
